         k_x          k_y          k_z           r_b1         r_b2         r_b3     flat index
  0.07896866   0.04559258   0.00000000     0.08910891  -0.00000000   0.00000000     1.30666873
  0.07458151   0.04305966   0.00000000     0.08415842  -0.00000000   0.00000000     1.31173457
  0.07019436   0.04052674   0.00000000     0.07920792  -0.00000000   0.00000000     1.31680041
  0.06580722   0.03799381   0.00000000     0.07425743  -0.00000000   0.00000000     1.32186626
  0.06142007   0.03546089   0.00000000     0.06930693  -0.00000000   0.00000000     1.32693210
  0.05703292   0.03292797   0.00000000     0.06435644  -0.00000000   0.00000000     1.33199794
  0.05264577   0.03039505   0.00000000     0.05940594  -0.00000000   0.00000000     1.33706378
  0.04825863   0.02786213   0.00000000     0.05445545  -0.00000000   0.00000000     1.34212962
  0.04387148   0.02532921   0.00000000     0.04950495  -0.00000000   0.00000000     1.34719546
  0.03948433   0.02279629   0.00000000     0.04455446  -0.00000000   0.00000000     1.35226131
  0.03509718   0.02026337   0.00000000     0.03960396  -0.00000000   0.00000000     1.35732715
  0.03071003   0.01773045   0.00000000     0.03465347  -0.00000000   0.00000000     1.36239299
  0.02632289   0.01519753   0.00000000     0.02970297  -0.00000000   0.00000000     1.36745883
  0.02193574   0.01266460   0.00000000     0.02475248  -0.00000000   0.00000000     1.37252467
  0.01754859   0.01013168   0.00000000     0.01980198  -0.00000000   0.00000000     1.37759052
  0.01316144   0.00759876   0.00000000     0.01485149  -0.00000000   0.00000000     1.38265636
  0.00877430   0.00506584   0.00000000     0.00990099  -0.00000000   0.00000000     1.38772220
  0.00438715   0.00253292   0.00000000     0.00495050  -0.00000000   0.00000000     1.39278804
  0.00000000   0.00000000   0.00000000     0.00000000   0.00000000   0.00000000     1.39785388
  0.00000000   0.00000000   0.10471976     0.00000000   0.00000000   0.50000000     1.39785388
  0.00292477   0.00506584   0.10471976     0.00330033   0.00330033   0.50000000     1.40370341
  0.00584953   0.01013168   0.10471976     0.00660066   0.00660066   0.50000000     1.40955294
  0.00877430   0.01519753   0.10471976     0.00990099   0.00990099   0.50000000     1.41540248
  0.01169906   0.02026337   0.10471976     0.01320132   0.01320132   0.50000000     1.42125201
  0.01462383   0.02532921   0.10471976     0.01650165   0.01650165   0.50000000     1.42710154
  0.01754859   0.03039505   0.10471976     0.01980198   0.01980198   0.50000000     1.43295107
  0.02047336   0.03546089   0.10471976     0.02310231   0.02310231   0.50000000     1.43880060
  0.02339812   0.04052674   0.10471976     0.02640264   0.02640264   0.50000000     1.44465013
  0.02632289   0.04559258   0.10471976     0.02970297   0.02970297   0.50000000     1.45049966
  0.02924765   0.05065842   0.10471976     0.03300330   0.03300330   0.50000000     1.45634919
  0.03217242   0.05572426   0.10471976     0.03630363   0.03630363   0.50000000     1.46219872
  0.03509718   0.06079010   0.10471976     0.03960396   0.03960396   0.50000000     1.46804825
